发表时间,会议（没中或者是报告的话填None）,方法名称,论文名字,架构,方向,论文单位（全称）,论文链接,论文仓库,论文创新点（CH）100字以内,论文创新点（EN）,本组工作,父记录
2023.05,AAAI 2024,FISEdit ,Accelerating Text-to-Image Editing via Cache-Enabled Sparse Diffusion Inferenc,Unet,图片生成,Peking University,https://arxiv.org/pdf/2305.17423,https://github.com/Hankpipi/diffusers-hetu," 本文提出 FISEdit 框架，通过识别语义变化影响区域并复用未修改区域的特征缓存，实现稀疏更新。实测在 TITAN RTX 和 A100 GPU 上推理速度分别提升约 4.4× 和 3.4×，且图像质量得到强化。",,,
2023.12,CVPR 2024,DeepCache,DeepCache: Accelerating Diffusion Models for Free,Unet,图片生成,National University of Singapore,https://arxiv.org/pdf/2312.00858,https://github.com/horseee/DeepCache,该方法利用U-Net架构中高级特征在相邻去噪步骤间的时间冗余性。通过缓存并复用上采样（Decoder）部分的高级特征，它跳过深层网络的冗余计算，同时允许低级特征通过浅层路径更新。其提出的非均匀缓存策略能根据特征变化动态调整计算，实现高效的免训练加速。,,,
2023.12,CVPR 2024,Block Caching,Cache Me if You Can: Accelerating Diffusion Models through Block Caching,Unet,图片生成,Meta GenAI,https://arxiv.org/pdf/2312.03209,None,该方法深入分析U-Net内部各区块（Block）在去噪过程中的动态变化，发现不同区块的特征变化模式各异且平滑。其核心创新是提出了“区块缓存”策略，并能根据特征变化率自动生成最优缓存调度方案，对变化小的区块进行选择性缓存。此外，它引入了轻量化的“尺度-位移”微调机制，以校正缓存带来的特征偏移，提升生成质量。,,,
2023.12,NSDI'24,Approximate Caching,Approximate Caching for Efficiently Serving Diffusion Models,,图片生成,Adobe,https://arxiv.org/pdf/2312.04429,,该方法专为 扩散模型服务加速 设计，基于缓存机制优化生成过程。首先，它发现 中间噪声状态存在跨步复用性，提出近似缓存框架以跳过重复计算。其次，它设计了 LCBFU 缓存策略，根据计算收益与频率动态选择缓存内容。结合这两点，系统 Nirvana 在保持生成质量的同时，大幅降低了延迟与 GPU 成本，实现了高效推理加速。,,,
2023.12,NeurIPS 2024,FasterDiffusion,Faster Diffusion: Rethinking the Role of the Encoder for Diffusion Model Inference,Unet,图片生成,Nankai University,https://arxiv.org/pdf/2312.09608,https://sen-mao.github.io/FasterDiffusion,该方法的核心发现是U-Net的编码器（Encoder）特征在去噪步骤间变化微小，而解码器（Decoder）特征变化显著。据此，它提出“编码器传播”策略：缓存并复用单次计算的编码器特征，以并行处理多个后续的解码器步骤，极大提升了推理速度。同时，引入先验噪声注入技术以补偿细节纹理，是一种高效的免训练并行加速方案。,,,
2024.04,None,T-GATE V1,Cross-Attention Makes Inference Cumbersome in Text-to-Image Diffusion Models,,图片生成,KAUST,https://arxiv.org/pdf/2404.02747v1,https://github.com/HaozheLiu-ST/T-GATE,,,,
2024.04,TMLR,T-GATE V2,Faster Diffusion via Temporal Attention Decompositionq,"Unet, DiT",图片生成,KAUST,https://arxiv.org/pdf/2404.02747,https://github.com/HaozheLiu-ST/T-GATE,该方法揭示 attention 的前后阶段作用差异，提出简单高效训练 Tgate 方法，通过按阶段缓存与跳过 attention 模块，实现 10%–50% 推理加速，近乎无损质量,,,
2024.06,NeurIPS 2024,Layer Caching,Learning-to-Cache: Accelerating Diffusion Transformer via Layer Caching,DiT,图片生成,National University of Singapore,https://arxiv.org/pdf/2406.01733,https://github.com/horseee/learning-to-cache/,该方法利用 timestep 间层级冗余，提出 L2C 框架，通过可微分优化方法训练一个 输入不变但时间步可变的路由器（router），决定哪些层可以跳过计算、哪些要执行，从而生成静态计算图。无需额外训练，也避免了指数级搜索空间问题。缓存大比例层级计算（如 U-ViT-H/2 缓存 93.68%），几乎无损 FID，显著降低计算量,,,
2024.06,None,∆-DiT,∆-DiT: A Training-Free Acceleration Method Tailored for Diffusion Transformers,DiT,图片生成,Fudan,https://arxiv.org/pdf/2406.01125,,该方法专为DiT架构设计，其核心创新点有二。首先，它发现DiT的前序模块主要生成轮廓，后序模块则负责细节。其次，为解决DiT直接缓存导致的信息丢失问题，它提出了∆-Cache，即缓存特征的“增量”（残差）而非绝对值。结合这两点，∆-DiT在生成早期（轮廓阶段）缓存后序模块，在后期（细节阶段）缓存前序模块，实现了与生成过程相匹配的自适应加速。,,,
2024.06,NeurIPS 2024,DiTFastAttn,DiTFastAttn: Attention Compression for Diffusion Transformer Models,DiT,图片生成,Tsinghua,https://arxiv.org/abs/2406.08552,https://github.com/thu-nics/DiTFastAttn,该方法系统性地识别并解决DiT中的三种注意力冗余：空间、时间与条件（CFG） 。其核心创新是一个技术组合：1）“带残差共享的窗口注意力”（WA-RS）在降低空间计算的同时保留全局信息 ；2）跨时间步（AST）与跨CFG（ASC）的注意力共享，以复用相似计算 。最后通过贪心算法为每层每步智能选择最优压缩策略，实现高效的免训练加速 。,,,
2024.07,ECCV 2024,ElasticCache-LVLM,Efficient Inference of Vision Instruction-Following Models with Elastic Cache,,,Tsinghua,https://arxiv.org/pdf/2407.18121,https://github.com/liuzuyan/ElasticCache,Elastic Cache：编码阶段重要性驱动 KV 合并；生成阶段借助 fixed-point 策略；创新采用“Two Policies”分段缓存管理方式，有效压缩缓存冗余，同时保留生成质量,,,
2024.07,None,FORA,FORA: Fast-Forward Caching in Diffusion Transformer Acceleration,DiT,图片生成,Microsoft,https://arxiv.org/pdf/2407.01425,https://github.com/prathebaselva/FORA,该方法是一种针对DiT架构的简洁高效的免训练缓存方案。其核心创新在于，它将缓存目标从整个DiT区块细化到其内部最耗费计算的两个模块：自注意力和MLP层 。FORA采用固定的静态缓存间隔（N），即每N步完整计算一次并缓存特征，在随后的N-1步中直接复用，通过跳过区块内部的核心计算来实现加速 。,,,
2024.07,None,VCUT,Faster Image2Video Generation: A Closer Look at CLIP Image Embedding’s Impact on Spatio-Temporal Cross-Attentions,,视频生成,The University of Western Australia,https://arxiv.org/pdf/2407.19205,,分析发现 CLIP 和 Cross-Attention 存在冗余，引入 VCUT：一种训练自由（training-free）的优化策略。它在生成第一步中使用一个线性层替代计算密集的空间 Cross-Attention 组件，然后缓存该线性输出，并在后续所有推理步骤中复用，从而极大地降低计算需求。该方法无需持续更新注意力机制就能维持高质量生成，同时每个视频减少约 322T MACs，参数削减约 50M，延迟缩减约 20%。,,,
2024.09,None,TokenCache,Token Caching for Diffusion Transformer Acceleration,DiT,图片生成,University of Chinese Academy of Sciences,https://arxiv.org/pdf/2409.18523,,该方法首次将缓存策略从区块级细化到令牌（Token）级 。其核心创新是引入一个可学习的“缓存预测器”，为每个令牌分配重要性分数，从而实现对冗余令牌的选择性剪枝与复用 。它结合了自适应区块选择策略（仅在最不重要的区块剪枝）和两阶段循环调度（TPRR）策略，在不同生成阶段动态调整缓存间隔，实现高效的DiT加速 。,,,
2024.09,ECCV 2024,FRDiff,FRDiff : Feature Reuse for Universal Training-free Acceleration of Diffusion Models,Unet,图片生成,Pohang University of Science and Technology,https://arxiv.org/pdf/2312.03517,https://github.com/Jungwon-Lee/FRDiff,"通过复用这些扩散推理中相邻时间步高度相似特征图跳过冗余计算以节省资源且不会降低图像质量，采用“特征复用（Feature Reuse, FR）”合并“减少 denoising 步数（reduced NFE）”以释放性能；利用 auto-tuning 模块（Auto-FR）根据延迟或质量需求自动调节复用策略；再通过 Score Mixing 平滑生成质量与计算效率之间的权衡。",,,
